Temperature,Humidity,Moisture,Soil_Type,Crop,Nitrogen,Phosphorus,Potassium,pH,pH_Status,Moisture_Status,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,Organic_1,Organic_2,Organic_3,pH_Amendment,Moisture_Action,Model_Prediction
35.14,47.84,76.85,Clayey,Sugarcane,89,66,128,5.72,Acidic,Excess,Optimal,Optimal,Excess,DAP,MOP,Press mud compost,Green manure,Press mud compost,Lime,Drainage,DAP
22.74,36.92,19.26,Sandy,Cotton,50,57,161,7.32,Optimal,Deficient,Optimal,Optimal,Excess,DAP,MOP,Rock phosphate,FYM,Ash,Maintain pH,Irrigation,DAP
24.21,87.14,61.21,Clayey,Rice,63,5,57,6.33,Optimal,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Bone meal,Bone meal,Vermicompost,Maintain pH,Maintain moisture,SSP
20.2,93.13,82.18,Loamy,Millets,74,92,75,6.77,Optimal,Excess,Optimal,Excess,Optimal,DAP,MOP,Wood ash,Rock phosphate,FYM,Maintain pH,Drainage,DAP
23.35,52.11,66.31,Clayey,Tea,8,0,163,5.78,Acidic,Optimal,Deficient,Deficient,Excess,Urea,Rock Phosphate,Neem cake,Poultry manure,FYM,(Prefers acidic),Maintain moisture,Urea
34.03,92.69,77.06,Clayey,Millets,118,8,42,5.38,Acidic,Excess,Excess,Deficient,Optimal,SSP,MOP,Rock phosphate,FYM,Banana peel powder,Lime,Drainage,SSP
12.9,68.16,44.78,Sandy,Wheat,39,87,105,7.87,Alkaline,Optimal,Deficient,Excess,Optimal,DAP,SOP,Mustard cake,Mustard cake,Azotobacter,Gypsum,Maintain moisture,DAP
14.08,68.61,16.16,Clayey,Tea,74,1,135,6.51,Optimal,Deficient,Optimal,Deficient,Excess,Rock Phosphate,SSP,Poultry manure,Banana peel compost,Wood ash,Maintain pH,Irrigation,Rock Phosphate
32.92,87.94,72.16,Loamy,Cotton,50,50,74,6.91,Optimal,Excess,Optimal,Optimal,Optimal,DAP,SSP,Ash,Poultry manure,Poultry manure,Maintain pH,Drainage,DAP
25.4,50.59,61.88,Clayey,Pulses,0,39,110,6.4,Optimal,Optimal,Deficient,Optimal,Optimal,Starter DAP,MOP,FYM,Rock phosphate,Banana waste,Maintain pH,Maintain moisture,Starter DAP
16.34,78.43,30.1,Loamy,Tea,107,12,142,5.91,Acidic,Optimal,Excess,Deficient,Excess,Rock Phosphate,SSP,Poultry manure,Neem cake,Banana peel compost,(Prefers acidic),Maintain moisture,Rock Phosphate
18.58,81.08,83.97,Loamy,Coffee,64,46,36,6.67,Optimal,Excess,Optimal,Optimal,Deficient,SOP,DAP,Wood ash,Rock phosphate,Banana stem compost,Maintain pH,Drainage,SOP
25.86,49.57,24.73,Loamy,Cotton,102,22,172,6.97,Optimal,Deficient,Excess,Deficient,Excess,SSP,MOP,Poultry manure,Oil cakes,Poultry manure,Maintain pH,Irrigation,SSP
29.32,70.82,52.77,Clayey,Maize,61,76,91,6.41,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,MOP,Green manure,Green manure,Banana stem compost,Maintain pH,Maintain moisture,DAP
21.44,58.02,47.52,Loamy,Groundnut,13,68,23,6.66,Optimal,Optimal,Deficient,Optimal,Deficient,Light Urea,MOP,Neem cake,Banana compost,Wood ash,Maintain pH,Maintain moisture,Light Urea
31.38,51.1,75.65,Clayey,Pulses,108,59,70,5.98,Acidic,Excess,Excess,Optimal,Optimal,DAP,MOP,Poultry manure,Rock phosphate,Banana waste,Lime,Avoid waterlogging,DAP
31.81,55.93,49.63,Clayey,Groundnut,44,50,59,6.7,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SSP,Wood ash,Banana compost,Banana compost,Maintain pH,Maintain moisture,DAP
20.8,58.63,22.85,Clayey,Coffee,32,95,171,6.31,Optimal,Deficient,Deficient,Excess,Excess,Ammonium Sulphate,SOP,Compost,Oilseed cakes,FYM,Maintain pH,Irrigation,Ammonium Sulphate
16.08,88.37,28.11,Sandy,Coffee,9,74,124,5.93,Acidic,Deficient,Deficient,Optimal,Excess,Ammonium Sulphate,SOP,FYM,Compost,Rock phosphate,Lime,Irrigation,Ammonium Sulphate
31.87,63.56,30.88,Loamy,Groundnut,117,41,160,6.6,Optimal,Optimal,Excess,Optimal,Excess,DAP,SSP,Wood ash,Wood ash,Neem cake,Maintain pH,Maintain moisture,DAP
31.46,92.96,21.61,Loamy,Sugarcane,42,55,2,7.27,Optimal,Deficient,Optimal,Optimal,Deficient,SOP,SSP,Wood ash,Wood ash,Green manure,Maintain pH,Continuous irrigation,SOP
26.13,50.38,31.05,Clayey,Groundnut,1,31,33,5.75,Acidic,Optimal,Deficient,Deficient,Deficient,Light Urea,MOP,FYM,Rock phosphate,Banana compost,Lime,Maintain moisture,Light Urea
17.25,54.71,79.97,Clayey,Coffee,67,16,105,5.7,Acidic,Excess,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Banana stem compost,Rock phosphate,Lime,Drainage,SSP
30.45,82.23,39.22,Loamy,Sugarcane,37,71,53,6.53,Optimal,Optimal,Deficient,Optimal,Optimal,CAN,MOP,Green manure,Press mud compost,Rock phosphate,Maintain pH,Maintain moisture,CAN
30.82,83.9,27.17,Clayey,Pulses,102,36,33,5.56,Acidic,Deficient,Excess,Optimal,Deficient,MOP,SSP,Wood ash,Rock phosphate,Rock phosphate,Lime,Irrigation,MOP
19.91,92.79,43.14,Sandy,Tea,81,19,13,6.36,Optimal,Optimal,Optimal,Deficient,Deficient,SOP,Rock Phosphate,Poultry manure,Wood ash,Poultry manure,Maintain pH,Maintain moisture,SOP
28.5,92.03,28.05,Loamy,Sugarcane,91,67,88,6.53,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Rock phosphate,Wood ash,Press mud compost,Maintain pH,Continuous irrigation,DAP
22.4,70.88,54.63,Loamy,Groundnut,0,39,13,6.59,Optimal,Optimal,Deficient,Optimal,Deficient,Ammonium Sulphate,MOP,FYM,Wood ash,FYM,Maintain pH,Maintain moisture,Ammonium Sulphate
26.05,67.73,79.78,Loamy,Rice,74,45,45,6.91,Optimal,Excess,Optimal,Optimal,Optimal,DAP,SOP,FYM,Vermicompost,PSB,Maintain pH,Drainage,DAP
20.49,70.6,79.73,Loamy,Millets,63,22,83,6.83,Optimal,Excess,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Rock phosphate,Wood ash,Maintain pH,Drainage,SSP
32.15,69.26,82.24,Clayey,Sugarcane,80,94,92,5.99,Acidic,Excess,Optimal,Excess,Optimal,DAP,SSP,Wood ash,Press mud compost,Banana trash compost,Lime,Drainage,DAP
35.7,39.9,82.92,Loamy,Cotton,41,83,95,6.43,Optimal,Excess,Optimal,Optimal,Optimal,DAP,MOP,Ash,Oil cakes,Vermicompost,Maintain pH,Drainage,DAP
28.63,91.74,20.5,Loamy,Pulses,85,19,103,6.14,Optimal,Deficient,Optimal,Deficient,Optimal,DAP,SSP,Rock phosphate,FYM,Rhizobium inoculation,Maintain pH,Irrigation,DAP
20.66,86.86,25.0,Loamy,Sugarcane,29,1,156,7.06,Optimal,Deficient,Deficient,Deficient,Excess,CAN,SSP,Press mud compost,Rock phosphate,Rock phosphate,Maintain pH,Continuous irrigation,CAN
34.18,74.54,83.19,Loamy,Rice,85,62,158,6.17,Optimal,Excess,Optimal,Optimal,Excess,DAP,SSP,Azolla,Bone meal,Rock phosphate,Maintain pH,Drainage,DAP
33.54,58.89,50.97,Loamy,Cotton,106,61,154,7.27,Optimal,Optimal,Excess,Optimal,Excess,DAP,SSP,Ash,Ash,FYM,Maintain pH,Maintain moisture,DAP
30.61,52.69,68.29,Loamy,Groundnut,82,59,132,7.27,Optimal,Optimal,Optimal,Optimal,Excess,DAP,SSP,Banana compost,Rock phosphate,Banana compost,Maintain pH,Maintain moisture,DAP
22.7,59.99,66.97,Clayey,Pulses,63,13,25,5.54,Acidic,Optimal,Optimal,Deficient,Deficient,MOP,SSP,Rock phosphate,Banana waste,Rhizobium inoculation,Lime,Maintain moisture,MOP
27.11,71.01,63.94,Loamy,Sugarcane,89,29,156,7.28,Optimal,Optimal,Optimal,Deficient,Excess,DAP,SSP,Rock phosphate,Rock phosphate,Green manure,Maintain pH,Maintain moisture,DAP
29.28,45.09,27.53,Loamy,Rice,83,67,125,6.9,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SSP,PSB,Bone meal,FYM,Maintain pH,Irrigation,DAP
22.03,66.47,18.99,Loamy,Rice,12,20,34,6.26,Optimal,Deficient,Deficient,Deficient,Deficient,Urea,MOP,Vermicompost,Bone meal,Banana pseudostem compost,Maintain pH,Irrigation,Urea
26.61,36.23,27.43,Loamy,Pulses,58,1,130,6.94,Optimal,Deficient,Optimal,Deficient,Excess,SSP,MOP,Rock phosphate,Compost,FYM,Maintain pH,Irrigation,SSP
25.67,45.1,64.27,Clayey,Coffee,68,38,58,6.16,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SOP,Rock phosphate,Wood ash,Rock phosphate,Maintain pH,Maintain moisture,DAP
23.22,76.76,69.73,Sandy,Maize,86,86,105,8.5,Alkaline,Optimal,Optimal,Excess,Optimal,DAP,SSP,Banana stem compost,Green manure,Banana stem compost,Gypsum,Maintain moisture,DAP
21.05,43.42,45.71,Clayey,Wheat,115,96,6,6.07,Optimal,Optimal,Excess,Excess,Deficient,MOP,SSP,Banana peel manure,Rock phosphate,Rock phosphate,Maintain pH,Maintain moisture,MOP
19.81,77.97,42.48,Loamy,Soybean,17,86,21,6.21,Optimal,Optimal,Deficient,Excess,Deficient,DAP starter,MOP,Vermicompost,Banana peel compost,Bone meal,Maintain pH,Maintain moisture,DAP starter
31.23,91.89,57.56,Loamy,Maize,14,22,143,6.84,Optimal,Optimal,Deficient,Deficient,Excess,Urea,SSP,FYM,PSB,Green manure,Maintain pH,Maintain moisture,Urea
23.89,63.98,76.34,Clayey,Tea,70,99,174,6.5,Optimal,Excess,Optimal,Excess,Excess,DAP,SOP,Vermicompost,Poultry manure,Vermicompost,Maintain pH,Drainage,DAP
26.45,57.12,37.87,Sandy,Sugarcane,66,47,120,6.68,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SOP,Rock phosphate,Press mud compost,Banana trash compost,Maintain pH,Maintain moisture,DAP
15.44,80.13,79.09,Loamy,Tea,52,79,138,6.2,Optimal,Excess,Optimal,Optimal,Excess,DAP,SOP,FYM,FYM,Banana peel compost,Maintain pH,Drainage,DAP
28.91,85.73,15.68,Loamy,Maize,54,41,165,6.77,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SOP,Green manure,Banana stem compost,PSB,Maintain pH,Irrigation,DAP
20.69,88.93,58.07,Clayey,Soybean,33,38,112,5.91,Acidic,Optimal,Deficient,Optimal,Optimal,DAP starter,MOP,Vermicompost,Banana peel compost,Wood ash,Lime,Maintain moisture,DAP starter
24.9,78.64,35.76,Clayey,Maize,25,10,22,6.37,Optimal,Optimal,Deficient,Deficient,Deficient,CAN,SOP,Green manure,Rock phosphate,Banana stem compost,Maintain pH,Maintain moisture,CAN
22.79,45.54,70.98,Loamy,Cotton,107,35,146,6.85,Optimal,Excess,Excess,Optimal,Excess,DAP,SSP,Ash,Oil cakes,FYM,Maintain pH,Drainage,DAP
28.21,42.08,23.94,Loamy,Cotton,102,17,33,6.38,Optimal,Deficient,Excess,Deficient,Deficient,MOP,DAP,Poultry manure,Ash,Oil cakes,Maintain pH,Irrigation,MOP
30.0,59.02,84.71,Loamy,Millets,0,94,145,6.88,Optimal,Excess,Deficient,Excess,Excess,Urea (small doses),MOP,FYM,Wood ash,FYM,Maintain pH,Drainage,Urea (small doses)
18.71,74.22,29.41,Loamy,Wheat,79,91,114,6.9,Optimal,Deficient,Optimal,Excess,Optimal,DAP,SSP,Azotobacter,Rock phosphate,Rock phosphate,Maintain pH,Irrigation (CRI/booting/grain filling),DAP
24.58,52.57,29.46,Clayey,Groundnut,84,30,58,5.66,Acidic,Deficient,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Rock phosphate,Neem cake,Lime,Irrigation,SSP
30.44,68.49,56.71,Clayey,Sugarcane,69,57,27,5.78,Acidic,Optimal,Optimal,Optimal,Deficient,SOP,SSP,Wood ash,Bone meal,Banana trash compost,Lime,Maintain moisture,SOP
35.62,67.12,39.32,Loamy,Sugarcane,77,31,85,7.07,Optimal,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Wood ash,FYM,Maintain pH,Maintain moisture,SSP
20.58,85.97,37.29,Loamy,Tea,75,97,18,6.76,Optimal,Optimal,Optimal,Excess,Deficient,SOP,Rock Phosphate,Banana peel compost,Poultry manure,Neem cake,Maintain pH,Maintain moisture,SOP
31.25,77.26,26.68,Loamy,Maize,55,36,62,6.57,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SOP,Rock phosphate,FYM,Wood ash,Maintain pH,Irrigation,DAP
29.04,65.12,35.8,Sandy,Soybean,116,56,167,6.42,Optimal,Optimal,Excess,Optimal,Excess,DAP,MOP,Rock phosphate,FYM,Bone meal,Maintain pH,Maintain moisture,DAP
33.82,56.08,58.51,Loamy,Cotton,62,68,34,6.51,Optimal,Optimal,Optimal,Optimal,Deficient,MOP,DAP,Ash,Oil cakes,Oil cakes,Maintain pH,Maintain moisture,MOP
24.18,76.16,17.46,Loamy,Cotton,82,43,148,6.93,Optimal,Deficient,Optimal,Optimal,Excess,DAP,MOP,FYM,Ash,Oil cakes,Maintain pH,Irrigation,DAP
19.65,76.81,58.65,Loamy,Tea,119,35,169,6.48,Optimal,Optimal,Excess,Optimal,Excess,DAP,SSP,Neem cake,Vermicompost,Poultry manure,Maintain pH,Maintain moisture,DAP
24.94,76.93,84.49,Sandy,Rice,56,96,88,7.83,Alkaline,Excess,Optimal,Excess,Optimal,DAP,SOP,Azolla,PSB,Vermicompost,Gypsum,Drainage,DAP
27.62,80.52,42.59,Sandy,Wheat,38,16,95,8.5,Alkaline,Optimal,Deficient,Deficient,Optimal,CAN,DAP,Azotobacter,Poultry manure,Mustard cake,Gypsum,Maintain moisture,CAN
21.87,75.47,68.82,Clayey,Coffee,23,6,89,5.35,Acidic,Optimal,Deficient,Deficient,Optimal,Ammonium Sulphate,DAP,Oilseed cakes,Rock phosphate,Rock phosphate,Lime,Maintain moisture,Ammonium Sulphate
22.45,47.68,63.72,Loamy,Coffee,28,15,143,6.87,Optimal,Optimal,Deficient,Deficient,Excess,Ammonium Sulphate,SSP,Compost,Rock phosphate,Oilseed cakes,Maintain pH,Maintain moisture,Ammonium Sulphate
21.79,38.54,43.61,Clayey,Millets,43,32,47,5.74,Acidic,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Wood ash,Rock phosphate,Lime,Maintain moisture,SSP
32.57,65.62,26.15,Clayey,Maize,26,56,170,7.15,Optimal,Deficient,Deficient,Optimal,Excess,Urea,SOP,FYM,PSB,Rock phosphate,Maintain pH,Irrigation,Urea
24.92,44.49,27.99,Loamy,Groundnut,95,64,61,6.82,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,MOP,Neem cake,Neem cake,Banana compost,Maintain pH,Irrigation,DAP
23.19,87.9,29.71,Clayey,Maize,59,87,26,5.22,Acidic,Deficient,Optimal,Excess,Deficient,MOP,DAP,Wood ash,FYM,Banana stem compost,Lime,Irrigation,MOP
23.7,91.03,19.02,Clayey,Sugarcane,75,49,147,6.07,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SSP,Banana trash compost,Banana trash compost,Press mud compost,Maintain pH,Continuous irrigation,DAP
33.26,40.92,39.59,Loamy,Groundnut,85,45,96,6.02,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SSP,Wood ash,Wood ash,FYM,Maintain pH,Maintain moisture,DAP
27.03,44.57,28.62,Sandy,Cotton,78,76,110,7.19,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SOP,Rock phosphate,Vermicompost,Vermicompost,Maintain pH,Irrigation,DAP
22.81,49.34,34.18,Loamy,Cotton,60,76,68,6.67,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SOP,Vermicompost,Rock phosphate,FYM,Maintain pH,Maintain moisture,DAP
23.41,38.87,53.93,Clayey,Pulses,17,55,70,6.25,Optimal,Optimal,Deficient,Optimal,Optimal,Starter DAP,MOP,FYM,Rock phosphate,Wood ash,Maintain pH,Maintain moisture,Starter DAP
29.2,38.12,30.12,Loamy,Soybean,100,12,148,6.72,Optimal,Optimal,Optimal,Deficient,Excess,DAP,SSP,Rock phosphate,Rhizobium inoculation,Wood ash,Maintain pH,Maintain moisture,DAP
21.67,55.27,71.31,Loamy,Groundnut,62,3,161,6.35,Optimal,Excess,Optimal,Deficient,Excess,SSP,MOP,Rock phosphate,FYM,FYM,Maintain pH,Drainage,SSP
28.06,43.8,72.47,Loamy,Rice,110,48,138,6.4,Optimal,Excess,Excess,Optimal,Excess,DAP,MOP,Rock phosphate,Banana pseudostem compost,Banana pseudostem compost,Maintain pH,Drainage,DAP
17.66,61.44,18.35,Loamy,Coffee,50,61,126,7.21,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SOP,FYM,Oilseed cakes,Rock phosphate,Maintain pH,Irrigation,DAP
28.13,47.0,16.23,Loamy,Pulses,107,43,29,6.62,Optimal,Deficient,Excess,Optimal,Deficient,MOP,DAP,Banana waste,Compost,FYM,Maintain pH,Irrigation,MOP
26.11,51.45,63.83,Clayey,Maize,109,41,161,6.08,Optimal,Optimal,Excess,Optimal,Excess,DAP,SOP,Green manure,Rock phosphate,Wood ash,Maintain pH,Maintain moisture,DAP
29.49,93.11,42.68,Clayey,Maize,37,5,12,6.02,Optimal,Optimal,Deficient,Deficient,Deficient,Ammonium Nitrate,SOP,FYM,Rock phosphate,Banana stem compost,Maintain pH,Maintain moisture,Ammonium Nitrate
31.64,54.56,35.65,Loamy,Rice,98,99,50,6.66,Optimal,Optimal,Optimal,Excess,Optimal,DAP,SOP,PSB,Wood ash,Wood ash,Maintain pH,Maintain moisture,DAP
25.85,74.8,21.96,Loamy,Soybean,39,50,5,6.39,Optimal,Deficient,Deficient,Optimal,Deficient,DAP starter,MOP,Rhizobium inoculation,Banana peel compost,Vermicompost,Maintain pH,Irrigation,DAP starter
18.14,60.0,29.86,Clayey,Wheat,4,22,88,6.77,Optimal,Deficient,Deficient,Deficient,Optimal,CAN,TSP,Azotobacter,Poultry manure,Rock phosphate,Maintain pH,Irrigation (CRI/booting/grain filling),CAN
22.95,61.07,45.9,Sandy,Millets,110,88,164,7.63,Alkaline,Optimal,Excess,Excess,Excess,DAP,SSP,Banana peel powder,Wood ash,Rock phosphate,DAP,Maintain moisture,DAP
34.28,48.33,76.84,Loamy,Sugarcane,46,82,106,6.73,Optimal,Excess,Optimal,Optimal,Optimal,DAP,SOP,Wood ash,Bone meal,Wood ash,Maintain pH,Drainage,DAP
24.89,66.29,40.67,Clayey,Soybean,119,40,130,7.14,Optimal,Optimal,Excess,Optimal,Excess,DAP,MOP,Rhizobium inoculation,Bone meal,Rhizobium inoculation,Maintain pH,Maintain moisture,DAP
30.23,56.86,41.13,Loamy,Cotton,22,35,107,6.5,Optimal,Optimal,Deficient,Optimal,Optimal,Urea,SOP,FYM,Vermicompost,Vermicompost,Maintain pH,Maintain moisture,Urea
14.01,60.47,21.85,Loamy,Wheat,79,48,141,7.15,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SSP,Banana peel manure,Mustard cake,Azotobacter,Maintain pH,Irrigation (CRI/booting/grain filling),DAP
27.7,79.4,65.8,Clayey,Pulses,100,93,144,5.85,Acidic,Optimal,Optimal,Excess,Excess,DAP,MOP,Banana waste,Rock phosphate,Rhizobium inoculation,Lime,Maintain moisture,DAP
26.28,40.58,43.81,Loamy,Groundnut,40,21,130,6.96,Optimal,Optimal,Optimal,Deficient,Excess,SSP,MOP,Rock phosphate,Rock phosphate,FYM,Maintain pH,Maintain moisture,SSP
29.67,52.47,83.78,Clayey,Sugarcane,70,94,2,5.57,Acidic,Excess,Optimal,Excess,Deficient,SOP,DAP,Banana trash compost,Press mud compost,Green manure,Lime,Drainage,SOP
29.03,52.45,48.08,Clayey,Cotton,6,50,178,5.61,Acidic,Optimal,Deficient,Optimal,Excess,Ammonium Sulphate,SOP,Vermicompost,Rock phosphate,FYM,Lime,Maintain moisture,Ammonium Sulphate
22.29,37.01,50.45,Clayey,Cotton,13,60,132,6.13,Optimal,Optimal,Deficient,Optimal,Excess,Urea,MOP,Oil cakes,Banana peel compost,Rock phosphate,Maintain pH,Maintain moisture,Urea
19.89,88.66,46.43,Loamy,Tea,48,84,107,5.68,Acidic,Optimal,Optimal,Optimal,Optimal,DAP,SSP,FYM,Vermicompost,Neem cake,(Prefers acidic),Maintain moisture,DAP
29.15,67.04,37.88,Clayey,Cotton,93,91,135,5.98,Acidic,Optimal,Optimal,Excess,Excess,DAP,MOP,Ash,Banana peel compost,Vermicompost,Lime,Maintain moisture,DAP
31.53,80.23,54.59,Loamy,Cotton,23,37,76,6.45,Optimal,Optimal,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,Oil cakes,Ash,Poultry manure,Maintain pH,Maintain moisture,Ammonium Sulphate
35.53,67.61,38.86,Loamy,Millets,48,41,21,7.13,Optimal,Optimal,Optimal,Optimal,Deficient,MOP,SSP,Banana peel powder,FYM,Banana peel powder,Maintain pH,Maintain moisture,MOP
32.08,35.51,30.06,Loamy,Sugarcane,80,87,26,7.2,Optimal,Optimal,Optimal,Excess,Deficient,MOP,SSP,Banana trash compost,Wood ash,Bone meal,Maintain pH,Maintain moisture,MOP
25.4,75.68,63.47,Loamy,Sugarcane,21,7,13,7.33,Optimal,Optimal,Deficient,Deficient,Deficient,Urea,SOP,Press mud compost,Rock phosphate,Wood ash,Maintain pH,Maintain moisture,Urea
20.12,66.58,33.89,Sandy,Coffee,22,95,97,8.24,Alkaline,Optimal,Deficient,Excess,Optimal,Ammonium Sulphate,SOP,FYM,Banana stem compost,FYM,DAP,Maintain moisture,Ammonium Sulphate
24.55,49.88,23.14,Sandy,Soybean,76,25,22,8.34,Alkaline,Deficient,Optimal,Deficient,Deficient,MOP,DAP,Bone meal,Banana peel compost,Vermicompost,Gypsum,Irrigation,MOP
19.63,50.52,51.52,Loamy,Coffee,28,18,166,6.33,Optimal,Optimal,Deficient,Deficient,Excess,Urea,DAP,Oilseed cakes,Rock phosphate,Banana stem compost,Maintain pH,Maintain moisture,Urea
18.28,91.49,26.41,Loamy,Soybean,4,39,118,6.78,Optimal,Deficient,Deficient,Optimal,Optimal,DAP starter,MOP,Vermicompost,Rhizobium inoculation,Bone meal,Maintain pH,Irrigation,DAP starter
33.8,73.83,72.85,Loamy,Rice,11,86,4,7.41,Optimal,Excess,Deficient,Excess,Deficient,CAN,SOP,FYM,Banana pseudostem compost,Azolla,Maintain pH,Drainage,CAN
28.76,58.03,75.73,Loamy,Soybean,34,96,66,7.49,Optimal,Excess,Deficient,Excess,Optimal,DAP starter,MOP,FYM,Bone meal,Rhizobium inoculation,Maintain pH,Drainage,DAP starter
22.04,42.1,17.99,Clayey,Rice,39,39,28,6.33,Optimal,Deficient,Deficient,Optimal,Deficient,Urea,MOP,FYM,Wood ash,Azolla,Maintain pH,Irrigation,Urea
10.48,75.57,28.86,Loamy,Wheat,25,44,32,7.12,Optimal,Deficient,Deficient,Optimal,Deficient,CAN,SOP,Mustard cake,Wood ash,Mustard cake,Maintain pH,Irrigation (CRI/booting/grain filling),CAN
18.39,48.83,39.85,Loamy,Coffee,12,3,145,6.89,Optimal,Optimal,Deficient,Deficient,Excess,Urea,SSP,Compost,Rock phosphate,Bone meal,Maintain pH,Maintain moisture,Urea
21.47,78.16,66.16,Sandy,Millets,49,39,145,5.79,Acidic,Optimal,Optimal,Optimal,Excess,DAP,SSP,Green leaf manure,Rock phosphate,Green leaf manure,Lime,Maintain moisture,DAP
26.26,39.41,22.78,Sandy,Millets,2,50,79,7.19,Optimal,Deficient,Deficient,Optimal,Optimal,Urea (small doses),MOP,FYM,Wood ash,Wood ash,Maintain pH,Light irrigation,Urea (small doses)
17.9,65.57,73.26,Loamy,Coffee,64,48,18,6.63,Optimal,Excess,Optimal,Optimal,Deficient,SOP,DAP,Banana stem compost,FYM,Bone meal,Maintain pH,Drainage,SOP
29.29,66.62,79.14,Sandy,Rice,83,99,127,7.59,Alkaline,Excess,Optimal,Excess,Excess,DAP,SOP,Azolla,Azolla,Bone meal,Sulphur,Drainage,DAP
25.44,81.33,83.39,Loamy,Cotton,41,50,179,7.07,Optimal,Excess,Optimal,Optimal,Excess,DAP,SSP,Banana peel compost,Poultry manure,Vermicompost,Maintain pH,Drainage,DAP
21.2,60.07,84.3,Loamy,Coffee,56,22,128,6.99,Optimal,Excess,Optimal,Deficient,Excess,SSP,MOP,Bone meal,Banana stem compost,Oilseed cakes,Maintain pH,Drainage,SSP
34.62,51.01,32.98,Clayey,Cotton,34,79,175,6.16,Optimal,Optimal,Deficient,Optimal,Excess,Ammonium Sulphate,SOP,Oil cakes,FYM,Rock phosphate,Maintain pH,Maintain moisture,Ammonium Sulphate
22.05,40.66,58.4,Loamy,Wheat,50,92,15,6.33,Optimal,Optimal,Optimal,Excess,Deficient,MOP,TSP,Banana peel manure,Azotobacter,Poultry manure,Maintain pH,Maintain moisture,MOP
23.22,41.18,19.65,Loamy,Rice,58,61,53,6.55,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Azolla,Rock phosphate,FYM,Maintain pH,Irrigation,DAP
23.69,78.09,77.65,Loamy,Cotton,34,63,81,6.57,Optimal,Excess,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,FYM,Oil cakes,Poultry manure,Maintain pH,Drainage,Ammonium Sulphate
21.79,72.52,48.02,Loamy,Pulses,28,62,23,6.67,Optimal,Optimal,Deficient,Optimal,Deficient,Starter DAP,MOP,Compost,Wood ash,FYM,Maintain pH,Maintain moisture,Starter DAP
24.52,40.6,21.89,Sandy,Groundnut,79,65,142,7.4,Optimal,Deficient,Optimal,Optimal,Excess,DAP,SSP,Rock phosphate,FYM,FYM,Maintain pH,Irrigation,DAP
20.68,64.46,30.66,Loamy,Soybean,77,31,22,6.26,Optimal,Optimal,Optimal,Deficient,Deficient,MOP,SSP,Rock phosphate,Wood ash,FYM,Maintain pH,Maintain moisture,MOP
31.96,47.13,70.48,Loamy,Pulses,33,80,135,7.01,Optimal,Excess,Deficient,Optimal,Excess,Starter DAP,MOP,FYM,Rhizobium inoculation,Poultry manure,Maintain pH,Avoid waterlogging,Starter DAP
28.33,40.19,22.03,Loamy,Sugarcane,72,70,46,6.33,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SOP,Wood ash,Wood ash,Rock phosphate,Maintain pH,Continuous irrigation,DAP
26.77,71.24,78.51,Sandy,Rice,34,62,46,7.5,Optimal,Excess,Deficient,Optimal,Optimal,Ammonium Sulphate,SOP,Vermicompost,Bone meal,Rock phosphate,Maintain pH,Drainage,Ammonium Sulphate
25.76,42.83,43.21,Clayey,Pulses,52,81,177,5.62,Acidic,Optimal,Optimal,Optimal,Excess,DAP,SSP,Compost,FYM,Wood ash,Lime,Maintain moisture,DAP
22.66,77.76,45.65,Clayey,Groundnut,65,32,174,6.35,Optimal,Optimal,Optimal,Deficient,Excess,SSP,MOP,Rock phosphate,Wood ash,Wood ash,Maintain pH,Maintain moisture,SSP
18.38,52.09,38.99,Loamy,Tea,43,32,61,7.11,Optimal,Optimal,Optimal,Deficient,Optimal,Rock Phosphate,SSP,Rock phosphate,Vermicompost,Rock phosphate,Maintain pH,Maintain moisture,Rock Phosphate
